id;manifest_id;awb;awb_assigned_date;pickup_exception;remarks;pickup_reference_number;status
1;quantify array Mouse;Toys Account;2021-03-28T16:23:41;Garden;Unbranded overriding;Facilitator e-markets Malaysia;capability Automotive
2;Alabama GB Australia;synthesize;2021-03-28T17:14:54;Account Shoes ADP;transmitting calculating Borders;TCP navigating Passage;Keyboard Home
3;online;navigate Consultant Towels;2021-03-28T16:24:37;attitude Triple-buffered PCI;online Greenland;Ecuador services;Developer
4;Rupee;web;2021-03-28T15:41:18;Chicken Future Hampshire;Granite Shoes;Pizza world-class Berkshire;withdrawal Shirt and
5;online Syrian;real-time Jewelery;2021-03-28T14:56:35;quantify;XSS;black;Mandatory calculating
6;national;sensor Orchestrator;2021-03-28T21:33:04;Maine;Cambridgeshire New;Concrete;Tasty transmitting
7;olive;digital Enhanced array;2021-03-29T12:08:50;Hat;Administrator Account;Fresh heuristic;back Facilitator open-source
8;HTTP Generic;bandwidth Seychelles;2021-03-29T05:41:11;New benchmark;Fish;Investor viral;deposit
9;Clothing Research;Iraqi;2021-03-28T20:18:04;scale generate;Clothing Spurs quantify;card Berkshire Shoes;PNG Persistent
10;flexibility Checking Metal;Common Front-line background;2021-03-29T01:13:55;maroon streamline hybrid;deposit hub;Tunnel analyzing Toys;Metal Functionality Toys
